74;1;AJNM;1;3772.70;0.00;0;"US$       ";205.67000;0.00000;0.00
75;1;ADEL;4;0.00;0.00;0;"US$       ";224.37000;0.00000;0.00
76;1;FACT;9908;4400.80;0.00;0;"US$       ";223.96000;0.00000;0.00
77;1;FACT;90002678;78.76;0.00;0;"US$       ";210.28000;0.00000;0.00
78;1;FACT;90002678;5534.00;0.00;0;"US$       ";210.28000;0.00000;0.00
79;1;FACT;90002678;5631.00;0.00;0;"US$       ";210.28000;0.00000;0.00
80;1;FACT;90002678;785.58;0.00;0;"US$       ";210.28000;0.00000;0.00
81;1;FACT;90002710;30.00;0.00;0;"US$       ";214.41000;0.00000;0.00
83;1;FACT;90002710;9146.33;0.00;0;"US$       ";214.41000;0.00000;0.00
84;1;FACT;90002710;3580.97;0.00;0;"US$       ";214.41000;0.00000;0.00
